DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/7/22	1	T460	1	SAL	380	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	10	16	30	SAL
3/7/22	1	T465	2	YO	578	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	12	16	12	MORPH
3/7/22	1	T467	3	SAL	546	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	18	22	10	SAL
3/7/22	1	T469	4	OG	490	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	9	18	30	MORPH
3/7/22	1	T484	5	YO	508	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	10	26	9	MORPH
3/7/22	1	T486	6	SAL	462	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	7	11	22	SAL
3/7/22	1	T491	7	YO	510	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	19	58	14	MORPH
3/7/22	1	T498	8	G	389	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	75	109	64	MORPH
3/7/22	1	G486	9	SAL	534	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	5	5	3	SAL
3/7/22	1	G489	10	SAL	490	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	8	15	5	SAL
3/7/22	1	G637	11	YO	540	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	14	22	18	MORPH
3/7/22	1	G641	12	YO	621	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	32	134	70	MORPH
3/7/22	1	G648	13	SAL	513	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	8	13	10	SAL
3/7/22	1	G649	14	YO	707	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	7	8	12	MORPH
3/7/22	1	G651	15	SAL	442	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	7	9	43	SAL
3/7/22	1	G676	16	SAL	351	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	20	34	33	SAL
