DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/10/22	4	T460	1	SAL	361	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	15	22	12	SAL
3/10/22	4	T465	2	RP	568	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	17	35	9	MORPH
3/10/22	4	T467	3	SAL	525	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	11	20	14	SAL
3/10/22	4	T469	4	OG	463	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	21	96	4	MORPH
3/10/22	4	T484	5	YO	461	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	25	46	11	MORPH
3/10/22	4	T486	6	SAL	417	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	11	19	2	SAL
3/10/22	4	T491	7	YO	470	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	19	49	5	MORPH
3/10/22	4	T498	8	G	379	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	29	43	11	MORPH
3/10/22	4	G486	9	SAL	505	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	3	3	2	SAL
3/10/22	4	G489	10	SAL	460	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	4	5	14	SAL
3/10/22	4	G637	11	YO	523	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	8	10	15	MORPH
3/10/22	4	G641	12	PO	577	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	23	131	6	MORPH
3/10/22	4	G648	13	SAL	506	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	55	98	9	SAL
3/10/22	4	G649	14	RG	643	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	28	45	76	MORPH
3/10/22	4	G651	15	SAL	421	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	23	27	15	SAL
3/10/22	4	G676	16	SAL	333	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	10	24	5	SAL
