DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/14/22	8	T460	1	SAL	368	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	20	25	14	SAL
3/14/22	8	T465	2	YO	544	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	11	13	2	MORPH
3/14/22	8	T467	3	SAL	521	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	14	19	7	SAL
3/14/22	8	T469	4	OG	455	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	42	539	1	MORPH
3/14/22	8	T484	5	RY	449	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	22	40	20	MORPH
3/14/22	8	T486	6	SAL	412	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	14	23	0	SAL
3/14/22	8	T491	7	OG	456	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	17	26	35	MORPH
3/14/22	8	T498	8	G	371	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	29	50	8	MORPH
3/14/22	8	G486	9	SAL	507	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	3	3	0	SAL
3/14/22	8	G489	10	SAL	451	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	5	7	1	SAL
3/14/22	8	G637	11	YO	511	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	4	6	5	MORPH
3/14/22	8	G641	12	RP	556	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	28	102	12	MORPH
3/14/22	8	G648	13	SAL	485	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	35	43	6	SAL
3/14/22	8	G649	14	OR	666	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	43	119	7	MORPH
3/14/22	8	G651	15	SAL	417	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	11	13	4	SAL
3/14/22	8	G676	16	SAL	328	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	51	72	8	SAL
