DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/12/22	6	T460	1	SAL	368	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	21	38	2	SAL
3/12/22	6	T465	2	RP	544	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	13	16	1	MORPH
3/12/22	6	T467	3	SAL	521	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	11	15	10	SAL
3/12/22	6	T469	4	OG	455	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	30	330	1	MORPH
3/12/22	6	T484	5	YO	449	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	64	139	41	MORPH
3/12/22	6	T486	6	SAL	412	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	11	22	7	SAL
3/12/22	6	T491	7	YO	456	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	12	32	34	MORPH
3/12/22	6	T498	8	G	371	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	18	24	7	MORPH
3/12/22	6	G486	9	SAL	507	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	1	1	3	SAL
3/12/22	6	G489	10	SAL	451	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	5	6	4	SAL
3/12/22	6	G637	11	YO	511	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	2	3	4	MORPH
3/12/22	6	G641	12	PO	556	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	40	250	13	MORPH
3/12/22	6	G648	13	SAL	485	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	50	91	15	SAL
3/12/22	6	G649	14	RG	666	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	37	93	2	MORPH
3/12/22	6	G651	15	SAL	417	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	10	11	13	SAL
3/12/22	6	G676	16	SAL	328	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	45	59	13	SAL
