DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/8/22	2	T460	1	SAL	380	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	6	6	1	SAL
3/8/22	2	T465	2	OG	578	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	27	65	26	MORPH
3/8/22	2	T467	3	SAL	546	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	38	63	62	SAL
3/8/22	2	T469	4	OG	490	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	15	27	39	MORPH
3/8/22	2	T484	5	YO	508	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	20	30	1	MORPH
3/8/22	2	T486	6	SAL	462	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	28	65	22	SAL
3/8/22	2	T491	7	YO	510	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	22	51	26	MORPH
3/8/22	2	T498	8	G	389	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	75	124	56	MORPH
3/8/22	2	G486	9	SAL	534	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	3	3	28	SAL
3/8/22	2	G489	10	SAL	490	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	24	46	18	SAL
3/8/22	2	G637	11	YO	540	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	19	26	18	MORPH
3/8/22	2	G641	12	YO	621	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	26	111	152	MORPH
3/8/22	2	G648	13	SAL	513	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	43	83	74	SAL
3/8/22	2	G649	14	YO	707	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	29	59	14	MORPH
3/8/22	2	G651	15	SAL	442	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	36	61	32	SAL
3/8/22	2	G676	16	SAL	351	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	25	40	17	SAL
