DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/11/22	5	T460	1	SAL	361	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	24	40	8	SAL
3/11/22	5	T465	2	RP	568	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	9	17	7	MORPH
3/11/22	5	T467	3	SAL	525	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	10	13	11	SAL
3/11/22	5	T469	4	OG	463	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	30	226	0	MORPH
3/11/22	5	T484	5	YO	461	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	24	43	18	MORPH
3/11/22	5	T486	6	SAL	417	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	10	16	2	SAL
3/11/22	5	T491	7	YO	470	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	14	28	22	MORPH
3/11/22	5	T498	8	G	379	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	21	48	4	MORPH
3/11/22	5	G486	9	SAL	505	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	5	5	9	SAL
3/11/22	5	G489	10	SAL	460	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	4	5	5	SAL
3/11/22	5	G637	11	YO	523	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	5	6	2	MORPH
3/11/22	5	G641	12	PO	577	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	24	105	68	MORPH
3/11/22	5	G648	13	SAL	506	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	25	32	11	SAL
3/11/22	5	G649	14	RG	643	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	13	25	5	MORPH
3/11/22	5	G651	15	SAL	421	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	12	16	16	SAL
3/11/22	5	G676	16	SAL	333	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	35	51	4	SAL
