DATE	SESSION	EARTAG#	BOX#	DOSE	WEIGHT(g)	PROGRAM	INF	ACTIVE	INACTIVE	CONDITION
3/9/22	3	T460	1	SAL	361	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	6	11	39	SAL
3/9/22	3	T465	2	RP	568	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	22	44	29	MORPH
3/9/22	3	T467	3	SAL	525	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	28	42	10	SAL
3/9/22	3	T469	4	OG	463	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	2	2	8	MORPH
3/9/22	3	T484	5	YO	461	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	22	43	7	MORPH
3/9/22	3	T486	6	SAL	417	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	16	24	3	SAL
3/9/22	3	T491	7	YO	470	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	16	29	37	MORPH
3/9/22	3	T498	8	G	379	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	16	26	12	MORPH
3/9/22	3	G486	9	SAL	505	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	2	2	23	SAL
3/9/22	3	G489	10	SAL	460	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	4	5	6	SAL
3/9/22	3	G637	11	YO	523	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	2	2	16	MORPH
3/9/22	3	G641	12	PO	577	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	0	0	6	MORPH
3/9/22	3	G648	13	SAL	506	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	48	101	29	SAL
3/9/22	3	G649	14	RG	643	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	44	88	38	MORPH
3/9/22	3	G651	15	SAL	421	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	28	42	19	SAL
3/9/22	3	G676	16	SAL	333	HEROIN_6HR_FR1_INTERMITTENT_CUES_75MAX	28	39	11	SAL
